,title,rating,author,genre
0,Hands-On Programming with R,24,Garrett Grolemund,R
6,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition",18,Brett Lantz,R
12,Advanced R (Chapman & Hall CRC The R Series),12,Hadley Wickham,R
18,Learning R,12,Richard Cotton,R
24, R for Everyone: Advanced Analytics and Graphics,6,Jared P. Lander,R
30,Discovering Statistics Using R,6,Andy Field,R
36,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",6,Hadley Wickham,R
42,Software for Data Analysis: Programming with R,6,John Chambers,R
48,Text Mining with R: A Tidy Approach,6,Julia Silge,R
54,The Art of R Programming: A Tour of Statistical Software Design,6,Norman Matloff,R
